start_time,end_time,usage,source
2022-09-25T00:00:00Z,2022-09-25T00:14:00Z,0.02,real
2022-09-25T00:15:00Z,2022-09-25T00:29:00Z,0.02,real
2022-09-25T00:30:00Z,2022-09-25T00:44:00Z,0.03,real
2022-09-25T00:45:00Z,2022-09-25T00:59:00Z,0.03,real
2022-09-25T01:00:00Z,2022-09-25T01:14:00Z,0.02,real
2022-09-25T01:15:00Z,2022-09-25T01:29:00Z,0.03,real
2022-09-25T01:30:00Z,2022-09-25T01:44:00Z,0.03,real
2022-09-25T01:45:00Z,2022-09-25T01:59:00Z,0.02,real
2022-09-25T02:00:00Z,2022-09-25T02:14:00Z,0.02,real
2022-09-25T02:15:00Z,2022-09-25T02:29:00Z,0.03,real
2022-09-25T02:30:00Z,2022-09-25T02:44:00Z,0.02,real
2022-09-25T02:45:00Z,2022-09-25T02:59:00Z,0.02,real
2022-09-25T03:00:00Z,2022-09-25T03:14:00Z,0.03,real
2022-09-25T03:15:00Z,2022-09-25T03:29:00Z,0.03,real
2022-09-25T03:30:00Z,2022-09-25T03:44:00Z,0.02,real
2022-09-25T03:45:00Z,2022-09-25T03:59:00Z,0.03,real
2022-09-25T04:00:00Z,2022-09-25T04:14:00Z,0.03,real
2022-09-25T04:15:00Z,2022-09-25T04:29:00Z,0.02,real
2022-09-25T04:30:00Z,2022-09-25T04:44:00Z,0.02,real
2022-09-25T04:45:00Z,2022-09-25T04:59:00Z,0.03,real
2022-09-25T05:00:00Z,2022-09-25T05:14:00Z,0.02,real
2022-09-25T05:15:00Z,2022-09-25T05:29:00Z,0.02,real
2022-09-25T05:30:00Z,2022-09-25T05:44:00Z,0.03,real
2022-09-25T05:45:00Z,2022-09-25T05:59:00Z,0.03,real
2022-09-25T06:00:00Z,2022-09-25T06:14:00Z,0.02,real
2022-09-25T06:15:00Z,2022-09-25T06:29:00Z,0.02,real
2022-09-25T06:30:00Z,2022-09-25T06:44:00Z,0.03,real
2022-09-25T06:45:00Z,2022-09-25T06:59:00Z,0.03,real
2022-09-25T07:00:00Z,2022-09-25T07:14:00Z,0.02,real
2022-09-25T07:15:00Z,2022-09-25T07:29:00Z,0.02,real
2022-09-25T07:30:00Z,2022-09-25T07:44:00Z,0.03,real
2022-09-25T07:45:00Z,2022-09-25T07:59:00Z,0.03,real
2022-09-25T08:00:00Z,2022-09-25T08:14:00Z,0.02,real
2022-09-25T08:15:00Z,2022-09-25T08:29:00Z,0.03,real
2022-09-25T08:30:00Z,2022-09-25T08:44:00Z,0.03,real
2022-09-25T08:45:00Z,2022-09-25T08:59:00Z,0.02,real
2022-09-25T09:00:00Z,2022-09-25T09:14:00Z,0.02,real
2022-09-25T09:15:00Z,2022-09-25T09:29:00Z,0.03,real
2022-09-25T09:30:00Z,2022-09-25T09:44:00Z,0.02,real
2022-09-25T09:45:00Z,2022-09-25T09:59:00Z,0.02,real
2022-09-25T10:00:00Z,2022-09-25T10:14:00Z,0.03,real
2022-09-25T10:15:00Z,2022-09-25T10:29:00Z,0.03,real
2022-09-25T10:30:00Z,2022-09-25T10:44:00Z,0.02,real
2022-09-25T10:45:00Z,2022-09-25T10:59:00Z,0.03,real
2022-09-25T11:00:00Z,2022-09-25T11:14:00Z,0.03,real
2022-09-25T11:15:00Z,2022-09-25T11:29:00Z,0.02,real
2022-09-25T11:30:00Z,2022-09-25T11:44:00Z,0.02,real
2022-09-25T11:45:00Z,2022-09-25T11:59:00Z,0.03,real
2022-09-25T12:00:00Z,2022-09-25T12:14:00Z,0.02,real
2022-09-25T12:15:00Z,2022-09-25T12:29:00Z,0.01,real
2022-09-25T12:30:00Z,2022-09-25T12:44:00Z,0.03,real
2022-09-25T12:45:00Z,2022-09-25T12:59:00Z,0.02,real
2022-09-25T13:00:00Z,2022-09-25T13:14:00Z,0.01,real
2022-09-25T13:15:00Z,2022-09-25T13:29:00Z,0.02,real
2022-09-25T13:30:00Z,2022-09-25T13:44:00Z,0.03,real
2022-09-25T13:45:00Z,2022-09-25T13:59:00Z,0.01,real
2022-09-25T14:00:00Z,2022-09-25T14:14:00Z,0.02,real
2022-09-25T14:15:00Z,2022-09-25T14:29:00Z,0.03,real
2022-09-25T14:30:00Z,2022-09-25T14:44:00Z,0.02,real
2022-09-25T14:45:00Z,2022-09-25T14:59:00Z,0.01,real
2022-09-25T15:00:00Z,2022-09-25T15:14:00Z,0.01,real
2022-09-25T15:15:00Z,2022-09-25T15:29:00Z,0.03,real
2022-09-25T15:30:00Z,2022-09-25T15:44:00Z,0.03,real
2022-09-25T15:45:00Z,2022-09-25T15:59:00Z,0.02,real
2022-09-25T16:00:00Z,2022-09-25T16:14:00Z,0.02,real
2022-09-25T16:15:00Z,2022-09-25T16:29:00Z,0.03,real
2022-09-25T16:30:00Z,2022-09-25T16:44:00Z,0.03,real
2022-09-25T16:45:00Z,2022-09-25T16:59:00Z,0.02,real
2022-09-25T17:00:00Z,2022-09-25T17:14:00Z,0.03,real
2022-09-25T17:15:00Z,2022-09-25T17:29:00Z,0.03,real
2022-09-25T17:30:00Z,2022-09-25T17:44:00Z,0.02,real
2022-09-25T17:45:00Z,2022-09-25T17:59:00Z,0.02,real
2022-09-25T18:00:00Z,2022-09-25T18:14:00Z,0.03,real
2022-09-25T18:15:00Z,2022-09-25T18:29:00Z,0.02,real
2022-09-25T18:30:00Z,2022-09-25T18:44:00Z,0.02,real
2022-09-25T18:45:00Z,2022-09-25T18:59:00Z,0.03,real
2022-09-25T19:00:00Z,2022-09-25T19:14:00Z,0.03,real
2022-09-25T19:15:00Z,2022-09-25T19:29:00Z,0.02,real
2022-09-25T19:30:00Z,2022-09-25T19:44:00Z,0.03,real
2022-09-25T19:45:00Z,2022-09-25T19:59:00Z,0.03,real
2022-09-25T20:00:00Z,2022-09-25T20:14:00Z,0.02,real
2022-09-25T20:15:00Z,2022-09-25T20:29:00Z,0.02,real
2022-09-25T20:30:00Z,2022-09-25T20:44:00Z,0.03,real
2022-09-25T20:45:00Z,2022-09-25T20:59:00Z,0.03,real
2022-09-25T21:00:00Z,2022-09-25T21:14:00Z,0.02,real
2022-09-25T21:15:00Z,2022-09-25T21:29:00Z,0.03,real
2022-09-25T21:30:00Z,2022-09-25T21:44:00Z,0.03,real
2022-09-25T21:45:00Z,2022-09-25T21:59:00Z,0.02,real
2022-09-25T22:00:00Z,2022-09-25T22:14:00Z,0.02,real
2022-09-25T22:15:00Z,2022-09-25T22:29:00Z,0.03,real
2022-09-25T22:30:00Z,2022-09-25T22:44:00Z,0.03,real
2022-09-25T22:45:00Z,2022-09-25T22:59:00Z,0.03,real
2022-09-25T23:00:00Z,2022-09-25T23:14:00Z,0.05,real
2022-09-25T23:15:00Z,2022-09-25T23:29:00Z,0.05,real
2022-09-25T23:30:00Z,2022-09-25T23:44:00Z,0.04,real
2022-09-25T23:45:00Z,2022-09-25T23:59:00Z,0.05,real
2022-09-26T00:00:00Z,2022-09-26T00:14:00Z,0.06,real
2022-09-26T00:15:00Z,2022-09-26T00:29:00Z,0.04,real
2022-09-26T00:30:00Z,2022-09-26T00:44:00Z,0.04,real
2022-09-26T00:45:00Z,2022-09-26T00:59:00Z,0.02,real
2022-09-26T01:00:00Z,2022-09-26T01:14:00Z,0.03,real
2022-09-26T01:15:00Z,2022-09-26T01:29:00Z,0.03,real
2022-09-26T01:30:00Z,2022-09-26T01:44:00Z,0.02,real
2022-09-26T01:45:00Z,2022-09-26T01:59:00Z,0.02,real
2022-09-26T02:00:00Z,2022-09-26T02:14:00Z,0.03,real
2022-09-26T02:15:00Z,2022-09-26T02:29:00Z,0.03,real
2022-09-26T02:30:00Z,2022-09-26T02:44:00Z,0.02,real
2022-09-26T02:45:00Z,2022-09-26T02:59:00Z,0.03,real
2022-09-26T03:00:00Z,2022-09-26T03:14:00Z,0.03,real
2022-09-26T03:15:00Z,2022-09-26T03:29:00Z,0.02,real
2022-09-26T03:30:00Z,2022-09-26T03:44:00Z,0.03,real
2022-09-26T03:45:00Z,2022-09-26T03:59:00Z,0.03,real
2022-09-26T04:00:00Z,2022-09-26T04:14:00Z,0.02,real
2022-09-26T04:15:00Z,2022-09-26T04:29:00Z,0.02,real
2022-09-26T04:30:00Z,2022-09-26T04:44:00Z,0.03,real
2022-09-26T04:45:00Z,2022-09-26T04:59:00Z,0.02,real
2022-09-26T05:00:00Z,2022-09-26T05:14:00Z,0.03,real
2022-09-26T05:15:00Z,2022-09-26T05:29:00Z,0.03,real
2022-09-26T05:30:00Z,2022-09-26T05:44:00Z,0.03,real
2022-09-26T05:45:00Z,2022-09-26T05:59:00Z,0.02,real
2022-09-26T06:00:00Z,2022-09-26T06:14:00Z,0.03,real
2022-09-26T06:15:00Z,2022-09-26T06:29:00Z,0.03,real
2022-09-26T06:30:00Z,2022-09-26T06:44:00Z,0.02,real
2022-09-26T06:45:00Z,2022-09-26T06:59:00Z,0.02,real
2022-09-26T07:00:00Z,2022-09-26T07:14:00Z,0.03,real
2022-09-26T07:15:00Z,2022-09-26T07:29:00Z,0.03,real
2022-09-26T07:30:00Z,2022-09-26T07:44:00Z,0.02,real
2022-09-26T07:45:00Z,2022-09-26T07:59:00Z,0.03,real
2022-09-26T08:00:00Z,2022-09-26T08:14:00Z,0.03,real
2022-09-26T08:15:00Z,2022-09-26T08:29:00Z,0.02,real
2022-09-26T08:30:00Z,2022-09-26T08:44:00Z,0.02,real
2022-09-26T08:45:00Z,2022-09-26T08:59:00Z,0.03,real
2022-09-26T09:00:00Z,2022-09-26T09:14:00Z,0.04,real
2022-09-26T09:15:00Z,2022-09-26T09:29:00Z,0.03,real
2022-09-26T09:30:00Z,2022-09-26T09:44:00Z,0.03,real
2022-09-26T09:45:00Z,2022-09-26T09:59:00Z,0.05,real
2022-09-26T10:00:00Z,2022-09-26T10:14:00Z,0.05,real
2022-09-26T10:15:00Z,2022-09-26T10:29:00Z,0.03,real
2022-09-26T10:30:00Z,2022-09-26T10:44:00Z,0.04,real
2022-09-26T10:45:00Z,2022-09-26T10:59:00Z,0.03,real
2022-09-26T11:00:00Z,2022-09-26T11:14:00Z,0.03,real
2022-09-26T11:15:00Z,2022-09-26T11:29:00Z,0.06,real
2022-09-26T11:30:00Z,2022-09-26T11:44:00Z,0.04,real
2022-09-26T11:45:00Z,2022-09-26T11:59:00Z,0.04,real
2022-09-26T12:00:00Z,2022-09-26T12:14:00Z,0.04,real
2022-09-26T12:15:00Z,2022-09-26T12:29:00Z,0.03,real
2022-09-26T12:30:00Z,2022-09-26T12:44:00Z,0.06,real
2022-09-26T12:45:00Z,2022-09-26T12:59:00Z,0.04,real
2022-09-26T13:00:00Z,2022-09-26T13:14:00Z,0.06,real
2022-09-26T13:15:00Z,2022-09-26T13:29:00Z,0.07,real
2022-09-26T13:30:00Z,2022-09-26T13:44:00Z,0.04,real
2022-09-26T13:45:00Z,2022-09-26T13:59:00Z,0.05,real
2022-09-26T14:00:00Z,2022-09-26T14:14:00Z,0.07,real
2022-09-26T14:15:00Z,2022-09-26T14:29:00Z,0.07,real
2022-09-26T14:30:00Z,2022-09-26T14:44:00Z,0.08,real
2022-09-26T14:45:00Z,2022-09-26T14:59:00Z,0.08,real
2022-09-26T15:00:00Z,2022-09-26T15:14:00Z,0.07,real
2022-09-26T15:15:00Z,2022-09-26T15:29:00Z,0.07,real
2022-09-26T15:30:00Z,2022-09-26T15:44:00Z,0.07,real
2022-09-26T15:45:00Z,2022-09-26T15:59:00Z,0.05,real
2022-09-26T16:00:00Z,2022-09-26T16:14:00Z,0.05,real
2022-09-26T16:15:00Z,2022-09-26T16:29:00Z,0.05,real
2022-09-26T16:30:00Z,2022-09-26T16:44:00Z,0.06,real
2022-09-26T16:45:00Z,2022-09-26T16:59:00Z,0.05,real
2022-09-26T17:00:00Z,2022-09-26T17:14:00Z,0.03,real
2022-09-26T17:15:00Z,2022-09-26T17:29:00Z,0.03,real
2022-09-26T17:30:00Z,2022-09-26T17:44:00Z,0.04,real
2022-09-26T17:45:00Z,2022-09-26T17:59:00Z,0.05,real
2022-09-26T18:00:00Z,2022-09-26T18:14:00Z,0.03,real
2022-09-26T18:15:00Z,2022-09-26T18:29:00Z,0.03,real
2022-09-26T18:30:00Z,2022-09-26T18:44:00Z,0.06,real
2022-09-26T18:45:00Z,2022-09-26T18:59:00Z,0.07,real
2022-09-26T19:00:00Z,2022-09-26T19:14:00Z,0.06,real
2022-09-26T19:15:00Z,2022-09-26T19:29:00Z,0.06,real
2022-09-26T19:30:00Z,2022-09-26T19:44:00Z,0.07,real
2022-09-26T19:45:00Z,2022-09-26T19:59:00Z,0.07,real
2022-09-26T20:00:00Z,2022-09-26T20:14:00Z,0.07,real
2022-09-26T20:15:00Z,2022-09-26T20:29:00Z,0.07,real
2022-09-26T20:30:00Z,2022-09-26T20:44:00Z,0.06,real
2022-09-26T20:45:00Z,2022-09-26T20:59:00Z,0.05,real
2022-09-26T21:00:00Z,2022-09-26T21:14:00Z,0.51,real
2022-09-26T21:15:00Z,2022-09-26T21:29:00Z,0.22,real
2022-09-26T21:30:00Z,2022-09-26T21:44:00Z,0.04,real
2022-09-26T21:45:00Z,2022-09-26T21:59:00Z,0.05,real
2022-09-26T22:00:00Z,2022-09-26T22:14:00Z,0.21,real
2022-09-26T22:15:00Z,2022-09-26T22:29:00Z,0.2,real
2022-09-26T22:30:00Z,2022-09-26T22:44:00Z,0.05,real
2022-09-26T22:45:00Z,2022-09-26T22:59:00Z,0.04,real
2022-09-26T23:00:00Z,2022-09-26T23:14:00Z,0.02,real
2022-09-26T23:15:00Z,2022-09-26T23:29:00Z,0.04,real
2022-09-26T23:30:00Z,2022-09-26T23:44:00Z,0.02,real
2022-09-26T23:45:00Z,2022-09-26T23:59:00Z,0.03,real
2022-09-27T00:00:00Z,2022-09-27T00:14:00Z,0.02,real
2022-09-27T00:15:00Z,2022-09-27T00:29:00Z,0.01,real
2022-09-27T00:30:00Z,2022-09-27T00:44:00Z,0.02,real
2022-09-27T00:45:00Z,2022-09-27T00:59:00Z,0.03,real
2022-09-27T01:00:00Z,2022-09-27T01:14:00Z,0.02,real
2022-09-27T01:15:00Z,2022-09-27T01:29:00Z,0.02,real
2022-09-27T01:30:00Z,2022-09-27T01:44:00Z,0.03,real
2022-09-27T01:45:00Z,2022-09-27T01:59:00Z,0.02,real
2022-09-27T02:00:00Z,2022-09-27T02:14:00Z,0.04,real
2022-09-27T02:15:00Z,2022-09-27T02:29:00Z,0.02,real
2022-09-27T02:30:00Z,2022-09-27T02:44:00Z,0.03,real
2022-09-27T02:45:00Z,2022-09-27T02:59:00Z,0.03,real
2022-09-27T03:00:00Z,2022-09-27T03:14:00Z,0.02,real
2022-09-27T03:15:00Z,2022-09-27T03:29:00Z,0.03,real
2022-09-27T03:30:00Z,2022-09-27T03:44:00Z,0.05,real
2022-09-27T03:45:00Z,2022-09-27T03:59:00Z,0.04,real
2022-09-27T04:00:00Z,2022-09-27T04:14:00Z,0.04,real
2022-09-27T04:15:00Z,2022-09-27T04:29:00Z,0.04,real
2022-09-27T04:30:00Z,2022-09-27T04:44:00Z,0.03,real
2022-09-27T04:45:00Z,2022-09-27T04:59:00Z,0.03,real
2022-09-27T05:00:00Z,2022-09-27T05:14:00Z,0.03,real
2022-09-27T05:15:00Z,2022-09-27T05:29:00Z,0.02,real
2022-09-27T05:30:00Z,2022-09-27T05:44:00Z,0.04,real
2022-09-27T05:45:00Z,2022-09-27T05:59:00Z,0.02,real
2022-09-27T06:00:00Z,2022-09-27T06:14:00Z,0.03,real
2022-09-27T06:15:00Z,2022-09-27T06:29:00Z,0.03,real
2022-09-27T06:30:00Z,2022-09-27T06:44:00Z,0.02,real
2022-09-27T06:45:00Z,2022-09-27T06:59:00Z,0.03,real
2022-09-27T07:00:00Z,2022-09-27T07:14:00Z,0.04,real
